carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.3,Very Good,H,VVS1,63.3,59.0,4.28,4.22,2.69,642.9901807967112
0.72,Ideal,F,SI2,61.9,54.0,5.83,5.73,3.57,2223.809935807388
0.38,Ideal,D,VS1,62.2,57.0,4.66,4.63,2.89,1135.1096622883188
0.81,Premium,F,SI1,61.9,58.0,5.99,5.96,3.7,3296.429985394761
1.47,Very Good,H,SI2,59.1,56.0,7.46,7.51,4.42,7083.809743601346
1.01,Good,F,SI2,62.5,59.0,6.31,6.37,3.96,3849.22989806253
1.24,Fair,G,SI2,65.7,57.0,6.72,6.68,4.4,4971.789708262929
0.72,Very Good,G,SI2,62.5,56.0,5.68,5.71,3.56,1989.7277334591834
0.51,Ideal,F,VS1,60.4,56.0,5.18,5.21,3.14,1805.7609742653176
0.33,Ideal,J,VVS1,62.1,54.0,4.45,4.47,2.77,597.8392037289526
2.03,Ideal,G,SI1,60.0,55.8,8.17,8.3,4.95,17917.699961624938
0.39,Very Good,J,VVS1,57.8,59.0,4.85,4.9,2.82,784.5514483422388
0.3,Very Good,G,VS2,60.8,61.0,4.31,4.34,2.63,534.0263032784081
0.55,Ideal,D,VS2,58.5,58.0,5.42,5.39,3.16,2057.494510828361
1.0,Premium,E,I1,62.3,58.0,6.38,6.33,3.96,3041.6956700936216
2.0,Good,I,VS2,63.6,60.0,8.03,7.95,5.08,15043.265930375595
1.0,Good,D,SI1,63.8,53.0,6.35,6.4,4.07,5040.395361296261
0.32,Ideal,J,VS1,62.0,54.7,4.39,4.42,2.73,480.01268085718834
0.4,Premium,G,VS1,60.7,58.0,4.81,4.78,2.91,1050.884583834733
1.01,Good,D,SI1,64.1,60.0,6.3,6.27,4.03,5116.813006918842
0.3,Very Good,H,SI1,63.0,54.0,4.27,4.3,2.7,429.4346163357579
0.7,Very Good,H,SI1,58.5,65.0,5.81,5.84,3.41,2122.39156836917
0.71,Very Good,E,VVS1,62.8,59.0,5.66,5.71,3.57,3947.038251299041
0.83,Ideal,E,SI1,61.5,55.0,6.05,6.08,3.73,3713.674232836307
0.31,Ideal,I,VVS1,62.1,56.0,4.38,4.35,2.71,643.218655428342
0.71,Premium,E,VS2,62.1,59.0,5.68,5.72,3.54,3103.1973929288433
0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,4417.044725355522
0.9,Premium,G,VS2,62.0,60.0,6.19,6.14,3.82,4333.66425363813
0.41,Premium,G,VS1,61.9,60.0,4.76,4.7,2.93,1097.787892884484
0.41,Premium,F,VVS2,60.1,59.0,4.79,4.82,2.89,1278.7390851959842
0.7,Very Good,F,SI1,59.2,60.0,5.77,5.79,3.42,2446.8553949124525
1.02,Ideal,I,VS2,62.7,56.0,6.37,6.43,4.01,4626.052853116486
0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,2036.646943042873
0.51,Ideal,D,VS2,62.7,55.0,5.12,5.09,3.2,1775.0210826145876
1.03,Ideal,G,VVS2,61.6,56.0,6.48,6.5,4.0,6945.850738973597
0.9,Very Good,G,VVS1,62.3,58.0,6.14,6.21,3.85,5520.4558162407775
0.3,Ideal,D,VS2,61.1,56.0,4.36,4.32,2.65,654.9845500737785
1.05,Very Good,G,VS2,61.7,55.0,6.5,6.56,4.03,5655.322958174553
1.3,Ideal,H,VVS2,61.5,55.0,7.07,7.03,4.34,9949.114011673824
0.36,Ideal,G,VVS1,62.8,57.0,4.55,4.52,2.85,1030.9810220341753
0.51,Very Good,G,VVS1,62.9,57.0,5.08,5.12,3.21,1893.7692702692118
1.08,Very Good,J,SI2,63.2,59.0,6.57,6.4,4.1,2901.708553937149
2.2,Premium,I,VS2,62.0,57.0,8.38,8.34,5.18,19274.637585448672
0.3,Ideal,F,IF,62.1,57.0,4.29,4.31,2.67,830.4042920373811
0.3,Very Good,E,VVS2,62.9,55.0,4.25,4.27,2.68,725.2081030933757
1.46,Premium,D,SI2,62.0,55.0,7.32,7.23,4.51,9042.490657340359
0.54,Ideal,G,VS1,60.1,57.0,5.29,5.31,3.18,1890.577372451154
0.58,Very Good,E,SI1,59.6,57.0,5.41,5.42,3.23,1807.3466240548441
2.01,Premium,I,SI1,61.3,60.0,8.09,8.05,4.95,14161.598391429701
0.43,Very Good,D,SI1,62.9,56.0,4.78,4.83,3.02,1068.454342886168
2.3,Ideal,H,SI2,61.6,56.0,8.48,8.52,5.24,17185.813931069653
0.91,Premium,I,VS1,61.9,57.0,6.24,6.19,3.85,4071.1603571026435
0.4,Ideal,F,SI2,62.0,57.0,4.7,4.72,2.92,734.1686799757998
1.0,Ideal,E,SI1,61.6,57.0,6.37,6.45,3.95,5268.527464104249
0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,986.784275622146
0.35,Ideal,H,VVS1,60.5,57.0,4.58,4.59,2.77,906.2568175227356
1.1,Very Good,G,IF,60.5,55.0,6.77,6.71,4.08,8624.653018040728
0.3,Premium,G,SI1,62.5,61.0,4.29,4.26,2.67,476.51470133523634
0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,725.2119100853516
0.94,Premium,F,SI2,62.4,58.0,6.23,6.17,3.87,3588.7038957347518
0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,1909.793206369579
0.7,Very Good,F,SI1,60.6,60.0,5.71,5.75,3.47,2441.1776476075324
0.24,Ideal,H,VS2,61.1,56.0,3.99,4.03,2.45,340.35952814723026
0.57,Very Good,E,VS2,59.5,56.0,5.45,5.47,3.25,2009.1997866868676
0.71,Premium,I,SI1,61.7,56.0,5.73,5.71,3.53,1998.52342315684
0.79,Ideal,H,VVS2,62.0,55.9,5.88,5.95,3.67,3890.23193455595
0.3,Premium,G,VS1,59.6,59.0,4.38,4.34,2.6,612.236576424822
0.52,Premium,E,VS2,61.6,59.0,5.16,5.14,3.17,1727.836551905625
1.22,Very Good,F,VVS2,60.7,62.0,6.81,6.84,4.14,9678.31422308441
1.0,Good,D,SI1,64.9,53.0,6.27,6.3,4.08,5031.838754906402
0.3,Good,H,VVS1,63.4,57.0,4.27,4.31,2.72,619.622371302077
0.3,Good,E,VS2,64.2,57.0,4.24,4.13,2.69,573.2071171901563
0.51,Premium,E,VS2,60.5,56.0,5.24,5.18,3.15,1671.056141004296
1.22,Ideal,H,VVS2,62.7,54.0,6.77,6.83,4.27,8815.022103390389
0.56,Ideal,D,VS2,61.2,56.0,5.3,5.35,3.26,2120.899673912107
0.53,Ideal,E,VS2,61.4,56.0,5.18,5.25,3.2,1831.6026883313002
0.58,Ideal,E,VS2,61.8,57.0,5.32,5.36,3.3,2168.035157991792
0.73,Premium,I,VS1,61.2,59.0,5.84,5.82,3.57,2689.076393766434
1.13,Ideal,F,I1,62.2,55.0,6.68,6.63,4.14,3722.469743629844
0.7,Very Good,F,VS1,60.5,57.0,5.77,5.8,3.5,3123.671006834011
0.59,Ideal,D,IF,60.7,58.0,5.45,5.49,3.32,3262.4792348778788
0.5,Ideal,G,VVS1,62.2,55.0,5.09,5.11,3.17,1917.2538640217615
1.07,Very Good,G,VVS2,62.8,57.0,6.46,6.56,4.09,7098.844050045117
0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,1281.349907226043
0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,511.78684431807045
1.51,Premium,H,VS1,61.0,60.0,7.29,7.34,4.46,11819.353093583055
1.33,Premium,G,SI2,59.2,62.0,7.22,7.16,4.26,6507.57988827083
0.53,Ideal,G,VVS1,61.4,57.0,5.18,5.21,3.19,2140.3317389463214
0.43,Ideal,F,VVS2,61.9,56.0,4.84,4.82,2.99,1425.8228925383535
0.4,Premium,G,VS1,61.3,60.0,4.71,4.66,2.87,1048.9340428016526
0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,3219.8151487553127
2.07,Fair,D,SI2,64.5,60.0,7.99,7.88,5.12,15240.46715694154
1.51,Premium,G,VS2,59.2,61.0,7.48,7.44,4.42,11528.947162996003
0.32,Ideal,F,SI1,61.6,55.0,4.41,4.45,2.73,586.7929394746485
0.5,Premium,E,SI1,62.3,60.0,5.16,5.08,3.19,1395.8051842375337
0.9,Good,G,VS1,61.0,62.0,6.16,6.24,3.78,4525.229905632232
0.71,Fair,D,SI1,66.3,56.0,5.61,5.49,3.68,2466.630042434363
1.21,Good,H,SI1,63.8,64.0,6.72,6.63,4.26,5680.312522615669
0.32,Premium,E,SI1,62.2,58.0,4.39,4.36,2.72,603.05307859057
0.7,Very Good,F,VS2,61.7,63.0,5.61,5.64,3.47,2793.851177662952
0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,1314.5164291858437
0.92,Very Good,G,SI2,59.4,62.0,6.34,6.36,3.77,3164.274163779052
1.0,Premium,H,SI2,60.0,62.0,6.53,6.51,3.91,3508.1593091090785
1.09,Ideal,I,VS2,61.8,57.0,6.55,6.59,4.06,5246.972594350888
0.56,Premium,I,VVS1,60.6,59.0,5.29,5.33,3.22,1920.212141854385
1.01,Fair,E,VS2,66.6,55.0,6.27,6.2,4.15,5268.664126986783
2.02,Premium,J,VS2,62.0,59.0,8.06,8.08,5.0,13536.116990411778
0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,430.05687018723216
1.03,Very Good,D,SI2,61.3,61.0,6.46,6.49,3.97,4557.27519970315
0.62,Premium,G,VS2,61.1,59.0,5.56,5.5,3.38,2152.5147510514353
0.83,Good,J,SI1,63.8,58.0,5.97,5.95,3.8,2066.427039067972
0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,3324.142054276878
2.04,Very Good,I,SI1,63.1,58.0,8.06,7.99,5.06,14148.968301803148
0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,3394.918740505094
1.11,Ideal,H,SI1,61.6,56.0,6.69,6.73,4.07,5295.610611029621
0.51,Ideal,F,VVS1,61.4,56.0,5.15,5.17,3.17,2118.585759637221
0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,580.743315081143
0.52,Very Good,E,VS2,62.5,56.0,5.15,5.18,3.23,1682.01723063605
1.2,Ideal,F,VS2,62.3,56.0,6.82,6.79,4.24,8100.284351269621
0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,559.3962787078253
1.52,Very Good,I,VS2,63.3,61.0,7.27,7.23,4.59,9318.709664718977
1.01,Good,D,SI1,63.1,60.0,6.32,6.39,4.01,5124.815805985192
1.2,Ideal,F,SI1,61.5,53.0,6.87,6.9,4.24,7075.358516820478
0.5,Ideal,F,VVS2,62.2,54.0,5.07,5.12,3.17,1894.9253011235853
0.35,Ideal,E,VS2,61.6,56.0,4.54,4.52,2.79,838.2987809859212
0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,1831.3064607501176
0.55,Ideal,F,VS2,60.9,57.0,5.3,5.34,3.24,1867.9285556406767
2.07,Ideal,J,VVS2,62.7,54.0,8.17,8.12,5.11,17599.20174678745
2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,15912.584876260267
0.3,Very Good,D,SI2,61.8,58.0,4.29,4.32,2.66,446.9786859049995
0.74,Ideal,G,VVS2,60.9,58.0,5.85,5.88,3.57,3727.736663757099
1.02,Very Good,G,SI1,63.0,55.0,6.4,6.45,4.05,4655.049152134164
2.0,Premium,I,VS1,61.1,58.0,8.08,8.11,4.95,17946.246399006126
1.51,Premium,J,VVS2,62.6,59.0,7.33,7.31,4.58,9497.519907036209
0.3,Ideal,F,SI1,60.6,57.0,4.34,4.37,2.64,520.0159274150193
0.57,Ideal,E,VS1,61.0,56.0,5.38,5.4,3.29,2339.338836213866
2.15,Ideal,I,SI1,62.5,57.0,8.2,8.16,5.11,16403.454709029596
0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,3810.4244002709074
1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,6242.084517757673
0.26,Ideal,G,SI1,62.2,54.0,4.11,4.12,2.56,372.96824956708264
1.51,Premium,G,VS2,62.5,59.0,7.34,7.28,4.57,11476.885011492901
0.31,Ideal,E,VS2,60.5,56.0,4.41,4.38,2.66,668.2547251544713
0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,2245.498253422569
0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,2321.8727717321385
0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,2041.1409285097927
0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,557.3202742996707
0.52,Ideal,G,VVS2,61.0,56.0,5.24,5.18,3.18,1919.881572189346
0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,1539.8162200488812
0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,2508.3257711345864
0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,646.889612237145
0.54,Ideal,E,VVS2,62.2,54.0,5.23,5.26,3.26,2303.7434030851005
0.9,Good,J,SI2,63.9,56.0,6.17,6.1,3.92,1982.8403595251255
1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,3784.3099494777434
1.03,Very Good,G,SI1,62.6,56.0,6.41,6.44,4.02,4742.130363033922
0.53,Very Good,F,SI1,62.5,57.0,5.19,5.24,3.26,1443.3223729107067
0.4,Ideal,G,VVS1,62.0,55.0,4.74,4.78,2.95,1259.9642009279664
0.64,Premium,H,SI1,60.0,59.0,5.63,5.57,3.36,1841.5563057143524
0.35,Very Good,H,VS2,60.1,56.0,4.61,4.64,2.78,661.4513179371734
0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,2881.7670214255177
1.09,Good,H,SI1,63.2,57.0,6.54,6.57,4.14,4684.737866761128
0.73,Ideal,I,SI1,61.7,55.0,5.78,5.82,3.58,2151.055961333789
0.9,Very Good,F,VS2,63.1,59.0,6.13,6.05,3.84,4481.9774986378025
1.06,Ideal,I,SI2,61.9,59.0,6.47,6.52,4.02,3566.414266935853
0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,2881.0229026599964
1.01,Very Good,H,SI1,61.8,61.0,6.4,6.47,3.98,4216.535211111184
0.96,Premium,G,SI2,59.3,58.0,6.49,6.43,3.83,3528.0406946496128
0.49,Very Good,H,VVS2,62.3,57.0,5.02,5.05,3.14,1507.790580365519
1.06,Ideal,I,VVS1,60.2,57.0,6.62,6.66,4.0,6528.3116158875055
0.54,Good,D,SI1,63.7,57.0,5.22,5.14,3.3,1577.130673717877
0.52,Very Good,E,SI2,62.6,58.0,5.11,5.14,3.21,1204.9468775959485
0.41,Ideal,E,VS1,62.1,56.0,4.78,4.75,2.96,1255.7769482354263
0.5,Good,E,VVS2,61.6,62.0,5.04,5.09,3.12,1825.1904206838442
1.06,Ideal,I,SI2,62.7,58.0,6.48,6.5,4.07,3563.44647748263
0.44,Ideal,E,SI1,61.1,56.0,4.92,4.9,3.0,1124.44886725231
0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,3534.795815134047
0.56,Ideal,D,VS2,61.9,57.0,5.26,5.3,3.27,2117.530297789171
0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,841.2230113102378
0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,4470.684726206086
0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,2404.532280706012
0.41,Ideal,D,VS2,62.4,55.0,4.76,4.79,2.98,1177.4665045632055
1.01,Very Good,I,SI1,63.3,59.0,6.26,6.22,3.95,3763.271070140763
1.13,Ideal,E,I1,62.0,55.0,6.66,6.7,4.14,3916.3595650477523
1.53,Premium,F,VS2,58.5,60.0,7.62,7.56,4.44,12591.20110855957
0.72,Ideal,H,VVS1,62.5,57.0,5.7,5.73,3.57,3512.8216835470057
0.7,Very Good,E,SI2,59.5,56.0,5.79,5.81,3.45,2121.353670758324
1.09,Very Good,G,VS2,60.9,56.0,6.67,6.7,4.07,6072.795961868302
1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,6877.4570891672765
0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,776.5288087357152
0.42,Ideal,G,IF,62.7,56.0,4.76,4.77,2.99,1470.2215520198697
0.3,Premium,F,VS2,60.7,58.0,4.35,4.32,2.63,584.3263158037626
1.31,Premium,J,SI1,60.7,58.0,7.11,7.06,4.3,5230.66898507483
1.01,Good,F,SI2,64.3,59.0,6.33,6.26,4.05,3838.382520641699
1.26,Premium,H,SI2,61.3,57.0,6.96,6.87,4.24,5420.982360340984
2.23,Premium,J,SI2,60.5,61.0,8.47,8.4,5.1,11712.499567991603
0.72,Good,F,SI1,60.4,61.0,5.75,5.8,3.49,2478.520713682887
1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,4921.638413135007
0.53,Good,I,VS1,64.3,55.0,5.17,5.13,3.31,1375.4162171256453
2.01,Very Good,G,SI1,63.1,59.0,8.03,7.98,5.05,16661.88246070381
0.32,Ideal,D,VVS2,61.3,55.8,4.43,4.44,2.71,898.1929527637074
1.04,Ideal,H,SI1,62.7,54.0,6.51,6.47,4.07,4680.571408219459
1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,10965.110147575178
1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,3974.6678283623737
0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,971.494966090953
2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,18159.858183320277
0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,936.7588714307825
0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,875.9811841306168
0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,730.5008036420245
0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,714.4733553004131
0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,735.0822353509966
1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92,5229.295701572882
0.33,Fair,H,VVS2,65.1,59.0,4.4,4.32,2.84,643.2561729294681
1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,12921.899104190403
0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71,3174.030005555221
0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,789.9666335486883
1.11,Very Good,H,VS1,63.2,57.0,6.61,6.53,4.15,6432.308478914601
0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,1356.1372939564392
0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,564.4679470284277
0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,488.61061966063477
1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,6982.5904016264785
0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,894.1535742307743
1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,8627.896642584526
0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,596.3752387271927
0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,2258.388450631108
0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,3753.441706801543
1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,3415.737337490691
1.01,Ideal,D,VS2,59.8,56.0,6.49,6.52,3.89,6453.009595679776
0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,935.5891253302748
1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,4896.682631257593
0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,494.6813350996003
1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,4555.551679903636
1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,4499.068558021768
0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,5381.2054193405675
0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,834.1066534464358
0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3289.1977192036356
1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,5425.087816322187
1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,6016.69659970065
0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,704.757068555175
1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99,5407.676912803214
0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,2990.0960146337675
0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,632.8985270806303
1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,3134.007858615809
0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,1886.8258940276417
1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,4084.5106558163266
0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,4109.7009610068335
0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,456.8008109009751
2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,16334.623606742687
1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,9391.886174396923
1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,4549.1997722774495
0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,2288.7253717977137
0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,367.9528707953762
0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,1741.591095952143
1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,5084.6472869046975
1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,5566.314616879116
0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,782.5513983475261
1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,4351.094418320329
1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,6355.430685092499
1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,2666.1698219044133
3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92,20733.69132481329
0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,981.169767863412
0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,1257.302904197682
1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,11840.302669627601
0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,954.6376915832165
0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,1511.6698300804917
0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,1090.333538246891
1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,3851.691104700682
0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,1380.5349730449916
0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,655.9557746771825
1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,5692.721676235668
0.39,Premium,E,VS2,60.1,61.0,4.76,4.72,2.85,1006.8353848052784
1.01,Premium,F,VS1,61.7,58.0,6.4,6.43,3.96,6383.204699027003
0.3,Very Good,F,VVS1,62.6,56.0,4.27,4.29,2.68,742.4487385878539
1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,16492.443157094836
1.1,Premium,H,VS2,61.4,58.0,6.68,6.62,4.08,5850.149045428026
1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,4654.834950597546
0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,650.6800682091974
2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,14144.20534357096
0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,459.2113008644194
0.41,Very Good,E,SI2,62.9,58.0,4.74,4.77,2.99,769.877686612587
0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,717.2939634961394
0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,593.5418064448141
0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,1181.0789217291597
0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97,1369.5718212610946
0.37,Ideal,F,VVS1,61.3,56.0,4.65,4.68,2.86,1158.0198005973386
0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,4329.036947793858
0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,1249.0594309702442
0.54,Premium,I,IF,58.8,61.0,5.35,5.29,3.13,1915.822475514336
1.0,Very Good,E,VS2,59.0,58.0,6.49,6.53,3.84,5789.301395382484
0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,938.9041354270664
1.23,Premium,H,SI2,61.2,57.0,6.89,6.86,4.21,5181.366791575845
1.02,Very Good,E,SI2,62.8,55.0,6.4,6.43,4.03,4288.694571301996
0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,2425.8869777482914
0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,1421.0091468906874
0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,1757.6461435141641
0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,727.2034901870649
0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87,4551.02762559482
1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74,11817.567070901488
0.31,Very Good,H,SI1,61.7,59.0,4.36,4.39,2.7,456.6781510441694
2.02,Premium,F,SI2,61.0,59.0,8.2,8.13,4.98,15178.499427772027
0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,2469.4606580516433
0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98,1471.1868420477433
0.34,Very Good,I,SI1,61.3,61.0,4.45,4.49,2.74,485.6419112817592
0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,1227.4035533781816
1.51,Fair,J,SI1,63.4,60.0,7.31,7.18,4.59,5975.98769981353
0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,604.6825780198259
1.24,Premium,G,VS1,62.0,55.0,6.95,6.89,4.29,8838.247293281302
0.31,Ideal,E,VS1,61.4,56.0,4.38,4.35,2.68,742.6605666740536
1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,11063.253485875828
1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,3719.7250523465277
0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,1792.9085572187762
1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,6263.360643626116
0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,1008.3162303430673
0.52,Premium,G,SI1,59.7,60.0,5.22,5.2,3.11,1348.9754936666452
0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13,1694.748284308495
0.3,Premium,D,SI1,61.7,59.0,4.28,4.31,2.65,557.5269175430047
0.39,Good,D,VVS2,58.1,60.0,4.82,4.85,2.81,1201.066922313031
0.38,Premium,G,IF,62.5,60.0,4.64,4.61,2.89,1190.9180514183674
1.01,Premium,F,SI2,58.3,58.0,6.56,6.55,3.82,4136.203353557238
1.36,Ideal,G,SI1,60.9,56.0,7.15,7.16,4.36,8415.421649015918
1.21,Ideal,I,SI1,60.6,55.0,6.92,6.87,4.18,5579.9241034114575
0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,791.8275212958996
0.41,Premium,D,VVS1,62.2,58.0,4.77,4.71,2.95,1506.7602613287281
2.03,Premium,J,VS1,59.3,60.0,8.36,8.28,4.93,15266.876779719178
0.36,Ideal,D,SI1,62.5,56.0,4.55,4.57,2.85,802.423545055158
0.4,Premium,D,SI1,61.4,56.0,4.83,4.72,2.93,960.0571143607042
2.11,Premium,D,SI2,60.9,60.0,8.28,8.21,5.02,18079.74328045039
1.06,Ideal,H,SI1,63.0,55.0,6.49,6.44,4.08,4846.869217288156
